start_time_ns,duration,label,metadata
2039467751126835,77750,TX,"size_bytes=153|tx=8d7309308c365fa19c8032614ef763457cc60c49e77b7335c7a5a8073a56891a"
2039467751207875,133530,TX,"size_bytes=339|tx=bc991014f066728dd74eba930ac732f3bba5822aedad078ae4621a71224cf9df"
2039467751347605,85610,TX,"size_bytes=162|tx=23d86e4118601051cbe2b1db6188ae21abd61997ec6ab47dc5bef38cfda72026"
2039467751437875,311640,TX,"size_bytes=788|tx=554520139bd66fbc4130cec091879f606464f78f624a7a24c3ca97b008aa5672"
2039467765852776,21055612,TX,"size_bytes=41345|tx=85fe8f1f2f3475d1d45c60ed64beae15663a18bfab36d0e9dd3f5061fefdf2a0"
2039467786926648,20614141,TX,"size_bytes=41347|tx=f482b6ac3c6dbda8e75e65dde28507881ff16eb07627b9275b1a69ed9c29a2cb"
2039467807559919,20790852,TX,"size_bytes=41348|tx=4db28dcafa1ee78fb81607387ee32d2a40557cae9f70b0e1a19a036642ab3723"
2039467828368091,157950,TX,"size_bytes=371|tx=225477915b7846db1b64ce033279f92b88beb6b7b276525beb8d1d53532f8be6"
2039467828530761,796060,TX,"size_bytes=1804|tx=29af4b150925171a2d7ae06cc3b76886bb3a181d8fb86890c3b03e3a26358eb9"
2039467829332371,75330,TX,"size_bytes=193|tx=4ca419d85b686d91181ce343bff9e840759404f73d4bd6111c690d987ef18ef2"
2039467829413651,72220,TX,"size_bytes=192|tx=edb882b6a1ace8604a8eb26577552e8f751f1df64ec1691ab787dca55736c2cb"
2039467829489691,185970,TX,"size_bytes=413|tx=f5d17b6b9a86434e2303076290543d6fc75f4c62cde2d4372657619c75067b7e"
2039467829679371,73780,TX,"size_bytes=253|tx=afaacf7aa3a09dbce02901c401657eb45efa848e357d115ef7a7b606094d7cbd"
2039467829757861,73230,TX,"size_bytes=154|tx=4e91b6a313dbaf350fc9620eab1312c4d43a0a781935472c2476d2a12ae45846"
2039467829835361,74740,TX,"size_bytes=214|tx=454f0a1df055cf546cd77bd91462f50260c9e04852fdab74181fc2141a9f2c70"
2039467829915211,1255360,TX,"size_bytes=3592|tx=1c96a84410e20d20773393d825c102af73ee878da03262594a3f4732b91980d2"
2039467831175601,216660,TX,"size_bytes=526|tx=ca7cb8f5e64163b09cd16b6aaa1c89d7e588a2ead65073eca71c100674c4c9e6"
2039467831398201,79520,TX,"size_bytes=153|tx=8d28bf6b9711d4c2f57d18163f0243d8b5468f4393263d84af522f006d7ee0ba"
2039467831481911,69290,TX,"size_bytes=205|tx=4180ae27555c8daf0fbc5641733a21c3414c659b75cc9b20dd58e28474a453b2"
2039467831555031,629470,TX,"size_bytes=1434|tx=e83d9c44870108e9b93038dbaa9ec93c3475658a2cd0f45be06aa2049326a189"
2039467832189491,80850,TX,"size_bytes=205|tx=2311f70b4ddacdb42595acab9c607434226200d65fe1a7528e3c72ca2623d573"
2039467832273661,76910,TX,"size_bytes=223|tx=bf4fba1ec713a4a3d47c68d733ed9928fe735daee042b2ad7d078fdb6ac8441c"
2039467832356011,68750,TX,"size_bytes=192|tx=9dd719f189f68217201ea714350a76523b19ec843ffdd353bb5e5de757eadb49"
2039467832427201,127790,TX,"size_bytes=331|tx=015dac10c72c9f799861e8c4716e1d206b12f8660b2860621d621f990055c0fe"
2039467832560251,119960,TX,"size_bytes=326|tx=4d5255e913b4c2a54b820b14efb160ba795d04853eec73accbc76a870e3a09e8"
2039467832684811,119650,TX,"size_bytes=332|tx=8c01c316a33560300ee034f7e7d43e9c5937067d9308d599a495ff9bd24c4e30"
2039467832807271,69970,TX,"size_bytes=257|tx=f0a3b8f12d7633b75b8d3c335e4e5c6cc254d43e3b69e2ebc8dcf405b2abbc52"
2039470195876058,13630,GH,""
2039470234913581,1878351,ADDRV2,""
2039470718787508,14010,HEADERS,"size_bytes=82"
2039471068931484,32740,INV,"size_bytes=325"
2039471076506725,151100,TX,"size_bytes=222|tx=f293938522db13b7220a817511a85007e5b5d604b9a1a05c476b23911a4c19e7"
2039471076663955,129280,TX,"size_bytes=223|tx=1682d4af0549537ca9928124df8c016d6fac904e9108118987dbaef73d076311"
2039471076799195,98950,TX,"size_bytes=222|tx=319fb685694ff6792c6f5dedbaeeb99926505be0df0c79a0f8c276dfdf873101"
2039471076903965,177030,TX,"size_bytes=371|tx=8e0e8df4ffd547bef3fd3d51af6e8d00d623ee9ab62b0eb6bd3b05a6c042102c"
2039471077087285,134500,TX,"size_bytes=372|tx=aad0fe55cae8a07abc1c08a29e647c32ac9e3ad4f8d7eb4a64c2a4efbee4424f"
2039471077225665,144300,TX,"size_bytes=369|tx=ed53fc5142a7c82978d89bb5fe2d90a8a74c37f64cafd53a5a6b901b6b873554"
2039471077373455,246350,TX,"size_bytes=669|tx=11e53b05d739e1ab486d1535ed1ee201d16e7b9a2007db33cb4069cc34dc8d2e"
2039471077626065,243520,TX,"size_bytes=666|tx=cf03c0d681a9636d6c6b5b2edd92a68c8bf0bc9acee234f9236a58aa76ad9c61"
2039471077875115,76840,TX,"size_bytes=207|tx=9ecfca9da287fa4e7cc9bf5653d8e937da492a4cebaccb10f0a9ed74d30507ca"
2039472591481738,32070,INV,"size_bytes=253"
2039472598954838,324840,TX,"size_bytes=367|tx=558f5663ef969f41c2122ddeee39ed16f409b76cb74ce1ed00d2ce1d3ef3c353"
2039472599287828,231780,TX,"size_bytes=373|tx=4b5bf1770169f039bc7e2bf9f39f4005c5500c91e05d97da7734b843bf3e6592"
2039472599525858,93910,TX,"size_bytes=278|tx=4eca7cb9712e4b4748c3a3b55541cad2a2edd1023b0eb8fc4e1c8da583b2ea32"
2039472599625308,150150,TX,"size_bytes=480|tx=c372ed82855f74dd54e6959939a3ce5e5509c4cc228057397d8a86b5a847e425"
2039472616828060,21179841,TX,"size_bytes=41355|tx=a0e2b32d77862a05af5de9d5ad7b9c3eca27542298f411c99037f34820924b3f"
2039472638032731,115880,TX,"size_bytes=223|tx=f5f54418f0328e5be86b979f9bca8ae0fbff3a6fcfcda14d1200c78e90227995"
2039472638154621,75930,TX,"size_bytes=222|tx=df5964b59f88c0bd8c1ef57918ed22f08f343c07078903b2d299253deb3bf849"
2039473536518559,277470,VERSION,""
2039473536812599,51060,VERACK,""
2039473634145596,7970,ADDRV2,""
2039473634157076,12770,GH,""
2039473638423456,12910,HEADERS,"size_bytes=82"
2039476847206096,28660,INV,"size_bytes=253"
2039476944105164,164520,TX,"size_bytes=192|tx=91db7989b3c2474b0b7d24992b2aab4fb7720c7396124e7b2414342b7090c0b7"
2039476944276454,310750,TX,"size_bytes=787|tx=4c0a826e712b3a743ecb10ca5741ff6d1c73bdb9645e518d98bef06adec6da6d"
2039476944598964,298930,TX,"size_bytes=787|tx=549cc66a457bfce78c9d9ee2e85c7dba0a641528bf52a070a8e55876b8b8ce0d"
2039476944907124,390370,TX,"size_bytes=933|tx=e36477a4edda567bb2237410ace48b7d57256e11a85bc83df350bd85e09ab7de"
2039476945306664,101190,TX,"size_bytes=222|tx=a21f4e99e2eb8f554175ccd20a213e8723ac50f52af98af1e9a356a4edbe7ddd"
2039476945413854,93950,TX,"size_bytes=222|tx=1ef5a599bf47dba794f58c97a63918bd434c4a7f5a7ce0ffb2ce6d7b221369d0"
2039476945515404,90760,TX,"size_bytes=191|tx=02ad6591789cf11481821afd15d7aec46fbcdd26831a7d3f636cc538bef1272c"
2039477725023892,30470,INV,"size_bytes=325"
2039479535141947,2015431,ADDRV2,""
2039481855238601,54450,INV,"size_bytes=685"
2039481865837742,141930,TX,"size_bytes=191|tx=45b0694a1a79433b8259d7f3169811cd6e784667a3f9aa5db1605d615a76d0c6"
2039481865986172,97960,TX,"size_bytes=223|tx=851be279dc7d4ee428f4058121f4cf059fab9eec6f83ebbbeef4ffc80671d0ce"
2039481866088002,91270,TX,"size_bytes=222|tx=86b61b8cdbd56bd1f921bbc3a66355c82929820d2ba02772ab37617a4a373441"
2039481866336642,1595460,TX,"size_bytes=2987|tx=f7d76d155f80cd284579801b18b87935c8f6935531c78a3eb8c38644fa1a9836"
2039481867939782,193000,TX,"size_bytes=488|tx=d5f33299d0572cbaf6540c7f5035e1cdd43f10121b5214af92b6829ebd181dac"
2039481868138172,300100,TX,"size_bytes=816|tx=4ca23ce034e79ac740db11bb4ff2213a3fc030c070d6209df99f2cb9035f85d9"
2039481868443422,245830,TX,"size_bytes=636|tx=ef1519143d083eb44796c471b19a6ab9966fc9d8ffc9fc6e2d5b79661ce3d04b"
2039481868693772,75970,TX,"size_bytes=253|tx=f4c7f76acaaa11a7791bd2b73ac232d7ab7e19b34bddd4b9f836ccd3f199debb"
2039481878970103,21088041,TX,"size_bytes=41341|tx=59fc1b9eefbb452c2dcf6c48e89a753fb37fd3d3463204100499d3f68bcea739"
2039481900079874,27630962,TX,"size_bytes=41346|tx=32cfd179fa8bc08e87ff96847b3282e143f80e6e28f78a206180920cf036c192"
2039481927731906,111350,TX,"size_bytes=222|tx=d12d8edf463a64d3ab8798185795d2377ba093c3b9e2d688e642b426c29e8277"
2039481927849866,83950,TX,"size_bytes=249|tx=076895f31e6af9f2fe54e0fdb5ac9228d15724c20a83324499376d3e8125cfb4"
2039481927938976,88210,TX,"size_bytes=222|tx=d37cba16e030437a96bb0050716ca44336b15f9db70cb7d76e4ef98ba7753e06"
2039481928030886,83450,TX,"size_bytes=151|tx=f5db27787eeb5c25cf75783f8a9cc004478c6740e274cbbc827ff757da6f8e8b"
